"UnitName"	"UnitType"	"Stimulus"	"StimNumber"	"isi.sec"	"Zoom"
"SC-17-1"	"Joint"	"sadness"	4	0.069	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.063	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.067	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.08	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.097	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.088	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.076	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.07	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.074	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.071	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.075	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.073	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.034	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.04	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.075	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.084	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.079	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.088	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.088	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.084	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.081	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.078	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.075	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.079	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.085	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.084	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.08	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.083	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.083	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.082	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.088	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.076	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.078	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.08	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.086	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.075	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.08	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.078	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.074	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.078	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.074	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.083	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.081	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.075	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.08	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.079	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.081	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.077	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.075	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.082	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.081	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.08	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.082	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.082	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.084	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.078	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.081	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.076	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.077	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.077	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.082	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.08	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.079	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.074	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.082	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.084	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.079	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.078	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.079	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.08	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.081	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.083	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.081	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.082	"201.4"
