Spike.time.sec	Comment.time.sec	Comment	UnitName	UnitType	StimNumber	Stimulus	isi.sec
41.34915	36.43	calming	SC-13-2	HFA	4	calming	0.035000000000003695
41.39695	36.43	calming	SC-13-2	HFA	4	calming	0.04779999999999518
41.4323	36.43	calming	SC-13-2	HFA	4	calming	0.0353500000000011
41.456	36.43	calming	SC-13-2	HFA	4	calming	0.02370000000000516
41.48225	36.43	calming	SC-13-2	HFA	4	calming	0.026249999999997442
41.55335	36.43	calming	SC-13-2	HFA	4	calming	0.07110000000000127
41.5722	36.43	calming	SC-13-2	HFA	4	calming	0.018850000000000477
41.60815	36.43	calming	SC-13-2	HFA	4	calming	0.035949999999999704
41.6251	36.43	calming	SC-13-2	HFA	4	calming	0.016950000000001353
41.6318	36.43	calming	SC-13-2	HFA	4	calming	0.006699999999995043
41.684	36.43	calming	SC-13-2	HFA	4	calming	0.052199999999999136
41.6915	36.43	calming	SC-13-2	HFA	4	calming	0.007500000000000284
43.21455	36.43	calming	SC-13-2	HFA	4	calming	1.523050000000005
43.5528	36.43	calming	SC-13-2	HFA	4	calming	0.33824999999999505
43.58875	36.43	calming	SC-13-2	HFA	4	calming	0.035949999999999704
43.7845	36.43	calming	SC-13-2	HFA	4	calming	0.19575000000000387
43.79925	36.43	calming	SC-13-2	HFA	4	calming	0.014749999999999375
43.8858	36.43	calming	SC-13-2	HFA	4	calming	0.08655000000000257
43.9177	36.43	calming	SC-13-2	HFA	4	calming	0.03190000000000026
44.19575	36.43	calming	SC-13-2	HFA	4	calming	0.27804999999999325
44.27005	36.43	calming	SC-13-2	HFA	4	calming	0.07430000000000092
44.2889	36.43	calming	SC-13-2	HFA	4	calming	0.018850000000000477
44.3162	36.43	calming	SC-13-2	HFA	4	calming	0.027300000000003877
44.37205	36.43	calming	SC-13-2	HFA	4	calming	0.05584999999999951
44.40915	36.43	calming	SC-13-2	HFA	4	calming	0.03709999999999525
44.4222	36.43	calming	SC-13-2	HFA	4	calming	0.013049999999999784
44.5367	36.43	calming	SC-13-2	HFA	4	calming	0.11450000000000671
44.6175	36.43	calming	SC-13-2	HFA	4	calming	0.08079999999999643
44.69825	36.43	calming	SC-13-2	HFA	4	calming	0.08075000000000188
44.90815	36.43	calming	SC-13-2	HFA	4	calming	0.20989999999999753
45.02595	36.43	calming	SC-13-2	HFA	4	calming	0.11780000000000257
45.04675	36.43	calming	SC-13-2	HFA	4	calming	0.020800000000001262
45.07425	36.43	calming	SC-13-2	HFA	4	calming	0.027499999999996305
45.08075	36.43	calming	SC-13-2	HFA	4	calming	0.006500000000002615
45.09575	36.43	calming	SC-13-2	HFA	4	calming	0.015000000000000568
45.10995	36.43	calming	SC-13-2	HFA	4	calming	0.014199999999995327
45.13085	36.43	calming	SC-13-2	HFA	4	calming	0.02090000000000458
45.1855	36.43	calming	SC-13-2	HFA	4	calming	0.0546499999999952
45.1923	36.43	calming	SC-13-2	HFA	4	calming	0.006800000000005468
45.2018	36.43	calming	SC-13-2	HFA	4	calming	0.009499999999995623
45.20695	36.43	calming	SC-13-2	HFA	4	calming	0.005150000000000432
45.2798	36.43	calming	SC-13-2	HFA	4	calming	0.07285000000000252
45.3441	36.43	calming	SC-13-2	HFA	4	calming	0.0642999999999958
45.3552	36.43	calming	SC-13-2	HFA	4	calming	0.011100000000006105
45.3903	36.43	calming	SC-13-2	HFA	4	calming	0.03509999999999991
45.3991	36.43	calming	SC-13-2	HFA	4	calming	0.008799999999993702
45.42625	36.43	calming	SC-13-2	HFA	4	calming	0.027150000000006003
45.43375	36.43	calming	SC-13-2	HFA	4	calming	0.007500000000000284
45.44255	36.43	calming	SC-13-2	HFA	4	calming	0.008799999999993702
45.47425	36.43	calming	SC-13-2	HFA	4	calming	0.03170000000000073
45.55165	36.43	calming	SC-13-2	HFA	4	calming	0.07740000000000435
45.62945	36.43	calming	SC-13-2	HFA	4	calming	0.07779999999999632
45.6361	36.43	calming	SC-13-2	HFA	4	calming	0.006650000000000489
45.65975	36.43	calming	SC-13-2	HFA	4	calming	0.0236500000000035
45.7113	36.43	calming	SC-13-2	HFA	4	calming	0.051549999999998875
45.75355	36.43	calming	SC-13-2	HFA	4	calming	0.04224999999999568
45.79955	36.43	calming	SC-13-2	HFA	4	calming	0.04600000000000648
45.8409	36.43	calming	SC-13-2	HFA	4	calming	0.041349999999994225
45.8481	36.43	calming	SC-13-2	HFA	4	calming	0.007200000000004536
45.8551	36.43	calming	SC-13-2	HFA	4	calming	0.006999999999997897
45.8962	36.43	calming	SC-13-2	HFA	4	calming	0.041100000000000136
46.05575	36.43	calming	SC-13-2	HFA	4	calming	0.15955000000000297
46.12575	36.43	calming	SC-13-2	HFA	4	calming	0.06999999999999318
46.1489	36.43	calming	SC-13-2	HFA	4	calming	0.023150000000001114
46.1976	36.43	calming	SC-13-2	HFA	4	calming	0.04870000000000374
46.2111	36.43	calming	SC-13-2	HFA	4	calming	0.013500000000000512
46.2899	36.43	calming	SC-13-2	HFA	4	calming	0.07880000000000109
46.3137	36.43	calming	SC-13-2	HFA	4	calming	0.02379999999999427
46.33035	36.43	calming	SC-13-2	HFA	4	calming	0.016650000000005605
46.4889	36.43	calming	SC-13-2	HFA	4	calming	0.1585499999999982
46.5911	36.43	calming	SC-13-2	HFA	4	calming	0.1021999999999963
46.60545	36.43	calming	SC-13-2	HFA	4	calming	0.014350000000000307
46.6095	36.43	calming	SC-13-2	HFA	4	calming	0.004049999999999443
46.768	36.43	calming	SC-13-2	HFA	4	calming	0.15850000000000364
46.8444	36.43	calming	SC-13-2	HFA	4	calming	0.07639999999999958
46.90845	36.43	calming	SC-13-2	HFA	4	calming	0.06405000000000172
47.00885	36.43	calming	SC-13-2	HFA	4	calming	0.10040000000000049
47.1204	36.43	calming	SC-13-2	HFA	4	calming	0.11154999999999404
47.2512	36.43	calming	SC-13-2	HFA	4	calming	0.1308000000000007
47.3317	36.43	calming	SC-13-2	HFA	4	calming	0.08050000000000068
56.41395	55.6	gratitude	SC-13-2	HFA	5	gratitude	NA
56.44605	55.6	gratitude	SC-13-2	HFA	5	gratitude	0.032099999999999795
56.5473	55.6	gratitude	SC-13-2	HFA	5	gratitude	0.10125000000000028
56.58435	55.6	gratitude	SC-13-2	HFA	5	gratitude	0.037050000000000693
56.6063	55.6	gratitude	SC-13-2	HFA	5	gratitude	0.021949999999996805
57.16785	55.6	gratitude	SC-13-2	HFA	5	gratitude	0.561550000000004
58.03105	55.6	gratitude	SC-13-2	HFA	5	gratitude	0.8631999999999991
58.1891	55.6	gratitude	SC-13-2	HFA	5	gratitude	0.1580500000000029
58.32805	55.6	gratitude	SC-13-2	HFA	5	gratitude	0.13894999999999413
59.42825	55.6	gratitude	SC-13-2	HFA	5	gratitude	1.100200000000001
59.44415	55.6	gratitude	SC-13-2	HFA	5	gratitude	0.015900000000002024
61.0887	55.6	gratitude	SC-13-2	HFA	5	gratitude	1.6445500000000024
61.1516	55.6	gratitude	SC-13-2	HFA	5	gratitude	0.06289999999999907
61.2312	55.6	gratitude	SC-13-2	HFA	5	gratitude	0.07959999999999923
61.44925	55.6	gratitude	SC-13-2	HFA	5	gratitude	0.21804999999999808
62.8841	55.6	gratitude	SC-13-2	HFA	5	gratitude	1.4348499999999973
62.89955	55.6	gratitude	SC-13-2	HFA	5	gratitude	0.015450000000001296
62.92655	55.6	gratitude	SC-13-2	HFA	5	gratitude	0.027000000000001023
62.9441	55.6	gratitude	SC-13-2	HFA	5	gratitude	0.017549999999999955
63.00115	55.6	gratitude	SC-13-2	HFA	5	gratitude	0.05705000000000382
64.55255	55.6	gratitude	SC-13-2	HFA	5	gratitude	1.551399999999994
68.22195	67.6675	sadness	SC-13-2	HFA	6	sadness	NA
68.24285	67.6675	sadness	SC-13-2	HFA	6	sadness	0.020899999999997476
68.2935	67.6675	sadness	SC-13-2	HFA	6	sadness	0.050649999999990314
68.30535	67.6675	sadness	SC-13-2	HFA	6	sadness	0.011850000000009686
68.403	67.6675	sadness	SC-13-2	HFA	6	sadness	0.09765000000000157
68.44215	67.6675	sadness	SC-13-2	HFA	6	sadness	0.03914999999999225
70.4171	67.6675	sadness	SC-13-2	HFA	6	sadness	1.9749500000000069
70.6614	67.6675	sadness	SC-13-2	HFA	6	sadness	0.24429999999999552
70.69445	67.6675	sadness	SC-13-2	HFA	6	sadness	0.03305000000000291
70.7742	67.6675	sadness	SC-13-2	HFA	6	sadness	0.07974999999999
71.29885	67.6675	sadness	SC-13-2	HFA	6	sadness	0.5246500000000083
71.5966	67.6675	sadness	SC-13-2	HFA	6	sadness	0.2977499999999935
72.8743	67.6675	sadness	SC-13-2	HFA	6	sadness	1.27770000000001
73.1951	67.6675	sadness	SC-13-2	HFA	6	sadness	0.3207999999999913
73.37215	67.6675	sadness	SC-13-2	HFA	6	sadness	0.17705000000000837
73.49205	67.6675	sadness	SC-13-2	HFA	6	sadness	0.11990000000000123
73.5325	67.6675	sadness	SC-13-2	HFA	6	sadness	0.04044999999999277
73.6696	67.6675	sadness	SC-13-2	HFA	6	sadness	0.13710000000000377
